epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4931,1.7398,3.27282,1.72211,0.00956,0.96667,0.12375,0.03408,1.9762,3.45565,2.31984,1.429e-05,1.429e-05,1.429e-05
2,20.4515,1.74012,3.28005,1.7233,0.00972,0.98889,0.18391,0.05262,1.85206,3.47757,2.2051,4.20212e-05,4.20212e-05,4.20212e-05
3,30.4058,1.53163,3.17289,1.59141,0.00974,0.98889,0.31721,0.09184,1.64558,3.48499,2.03273,6.86206e-05,6.86206e-05,6.86206e-05
4,40.2052,1.50228,3.04622,1.50414,0.00987,1,0.42221,0.13116,1.42464,3.46668,1.81865,9.40882e-05,9.40882e-05,9.40882e-05
5,48.9034,1.34195,2.77972,1.37121,0.00987,1,0.50066,0.2175,1.28242,3.28664,1.52045,0.000118424,0.000118424,0.000118424
6,57.7438,1.27783,2.50571,1.31683,0.0098,1,0.6996,0.39599,1.17274,3.00259,1.19927,0.000141628,0.000141628,0.000141628
7,66.3587,1.32056,2.24638,1.26925,0.00975,1,0.82158,0.49637,1.09881,2.90905,1.13252,0.000163701,0.000163701,0.000163701
8,74.8359,1.27074,1.85166,1.26642,0.00973,1,0.87372,0.52051,1.13004,2.8008,1.16004,0.000184641,0.000184641,0.000184641
9,83.1968,1.29335,1.82109,1.32074,0.00974,1,0.88844,0.55158,1.13128,2.75225,1.18048,0.00020445,0.00020445,0.00020445
10,91.7071,1.2308,1.61346,1.2657,0.00976,1,0.90377,0.57256,1.12012,2.67923,1.17126,0.000223127,0.000223127,0.000223127
11,100.227,1.13728,1.40342,1.19913,0.00977,1,0.90566,0.60307,1.06382,2.60341,1.11372,0.000240672,0.000240672,0.000240672
12,108.594,1.18702,1.47071,1.28028,0.21783,0.98889,0.92564,0.64259,1.00835,2.54889,1.05677,0.000257086,0.000257086,0.000257086
13,116.946,1.14309,1.3928,1.24003,0.93824,0.60102,0.94721,0.65019,0.99185,2.55124,1.03611,0.000272367,0.000272367,0.000272367
14,125.636,1.13111,1.27541,1.2102,0.98129,0.34452,0.95763,0.65052,1.00861,2.55674,1.0522,0.000286517,0.000286517,0.000286517
15,134.533,1.08133,1.21968,1.1563,0.97722,0.72848,0.96065,0.62227,1.05792,2.55842,1.09553,0.000299536,0.000299536,0.000299536
16,143.033,1.16051,1.29331,1.17366,0.98869,0.72326,0.96258,0.65628,1.0193,2.48752,1.06765,0.000311422,0.000311422,0.000311422
17,151.67,1.0898,1.1932,1.13087,0.98549,0.4102,0.96025,0.68529,0.98214,2.39602,1.03564,0.000322177,0.000322177,0.000322177
18,160.497,1.11472,1.17931,1.19497,0.98073,0.35915,0.96987,0.67492,0.97157,2.34392,1.0318,0.0003318,0.0003318,0.0003318
19,169.748,1.05419,1.19071,1.18426,0.98175,0.41683,0.96572,0.6797,0.98172,2.29102,1.03865,0.000340291,0.000340291,0.000340291
20,179.169,1.01687,1.01554,1.16039,0.96661,0.30101,0.96181,0.67862,1.00825,2.31726,1.06327,0.00034765,0.00034765,0.00034765
21,188.619,0.96309,1.05372,1.13289,1,0.2664,0.96272,0.67098,1.09662,2.3561,1.10463,0.000353878,0.000353878,0.000353878
22,197.179,1.05732,1.00061,1.14311,1,0.33595,0.96047,0.65827,1.12723,2.31063,1.1211,0.000358973,0.000358973,0.000358973
23,205.254,1.03277,1.16902,1.17456,0.98978,0.56452,0.96455,0.67266,1.06563,2.13658,1.08229,0.000362937,0.000362937,0.000362937
24,213.538,0.984,0.98934,1.10963,0.97451,0.73082,0.96512,0.69315,1.01258,2.0111,1.05316,0.00036577,0.00036577,0.00036577
25,221.916,0.98955,1.04148,1.08592,0.98348,0.82245,0.97436,0.70409,0.97876,1.92085,1.0287,0.00036747,0.00036747,0.00036747
26,230.766,0.90618,1.06422,1.09769,0.98551,0.85679,0.97405,0.72147,0.93886,1.87391,1.00491,0.000368039,0.000368039,0.000368039
27,239.466,0.945,1.00612,1.09345,0.98724,0.95076,0.98228,0.7403,0.87484,1.71087,0.98646,0.000367476,0.000367476,0.000367476
28,248.909,0.9443,0.97194,1.06182,0.98724,0.95076,0.98228,0.7403,0.87484,1.71087,0.98646,0.000365781,0.000365781,0.000365781
29,257.951,0.96938,0.9752,1.06444,0.96813,0.9544,0.98989,0.75045,0.85019,1.46326,0.97027,0.000362955,0.000362955,0.000362955
30,267.14,0.92091,0.9525,1.09417,0.94502,0.959,0.98966,0.75992,0.86528,1.25413,0.99652,0.000358996,0.000358996,0.000358996
31,275.792,1.0138,0.96715,1.12739,0.94502,0.959,0.98966,0.75992,0.86528,1.25413,0.99652,0.000353906,0.000353906,0.000353906
32,284.44,0.88386,0.8931,1.07462,0.94344,0.97405,0.99221,0.7604,0.8527,1.1139,0.98584,0.000347684,0.000347684,0.000347684
33,293.074,0.96835,0.87013,1.10844,0.9575,0.98597,0.99468,0.73895,0.85327,1.00303,0.97352,0.000340331,0.000340331,0.000340331
34,301.164,0.92168,0.87823,1.05788,0.9575,0.98597,0.99468,0.73895,0.85327,1.00303,0.97352,0.000331845,0.000331845,0.000331845
35,309.975,0.90673,0.82941,1.0419,0.9572,0.98621,0.99468,0.73943,0.82943,0.95972,0.96015,0.000322228,0.000322228,0.000322228
36,318.662,0.88076,0.84799,1.04753,0.95336,0.97571,0.99437,0.77317,0.77776,0.93527,0.9424,0.000311479,0.000311479,0.000311479
37,327.748,0.86171,0.83366,1.06675,0.95336,0.97571,0.99437,0.77317,0.77776,0.93527,0.9424,0.000299598,0.000299598,0.000299598
38,336.106,0.85533,0.84596,1.09439,0.93699,0.9802,0.99435,0.77835,0.79046,0.93374,0.95648,0.000286586,0.000286586,0.000286586
39,344.733,0.83133,0.81012,1.05013,0.94785,0.9883,0.995,0.78907,0.78464,0.94816,0.94838,0.000272442,0.000272442,0.000272442
40,353.332,0.82259,0.79275,1.03369,0.94785,0.9883,0.995,0.78907,0.78464,0.94816,0.94838,0.000257166,0.000257166,0.000257166
41,362.43,0.81627,1.02474,1.013,0.94177,1,0.995,0.7867,0.78524,0.97114,0.94781,0.000240758,0.000240758,0.000240758
42,371.162,0.78751,1.03626,1.07301,0.95711,0.98982,0.995,0.77841,0.8386,1.04787,0.95614,0.000223218,0.000223218,0.000223218
43,379.409,0.73745,0.98807,1.0414,0.95711,0.98982,0.995,0.77841,0.8386,1.04787,0.95614,0.000204547,0.000204547,0.000204547
44,387.669,0.78213,0.98254,0.98236,0.97447,0.98445,0.995,0.78221,0.843,1.11036,0.95288,0.000184744,0.000184744,0.000184744
45,396.613,0.78417,1.04057,0.98583,0.97447,0.98445,0.995,0.78221,0.843,1.11036,0.95288,0.000163809,0.000163809,0.000163809
46,404.963,0.81035,1.00988,0.99314,0.97755,0.98544,0.995,0.79158,0.79448,1.11297,0.93014,0.000141743,0.000141743,0.000141743
